,date,neg,pos,total
846,1863-10-30,369,613,23226
847,1863-10-31,422,872,27727
848,1863-11-01,375,839,27063
849,1863-11-02,435,791,24246
850,1863-11-03,352,762,25240
851,1863-11-04,362,684,24058
852,1863-11-05,356,634,27223
853,1863-11-09,366,741,22688
854,1863-11-10,211,587,21344
855,1863-11-11,388,627,26139
856,1863-11-12,312,692,27682
857,1863-11-13,422,759,28010
858,1863-11-14,427,706,29054
859,1863-11-15,431,763,28697
860,1863-11-16,318,752,24429
861,1863-11-18,375,831,28912
862,1863-11-19,402,766,27619
863,1863-11-20,391,775,29049
864,1863-11-21,430,655,30941
865,1863-11-23,457,884,29226
866,1863-11-24,462,883,29154
867,1863-11-26,414,702,29103
868,1863-11-27,446,771,29831
869,1863-11-28,352,712,26895
870,1863-11-30,459,838,28074
