,date,neg,pos,total
812,1906-08-28,462,673,25840
813,1906-08-29,467,665,25629
814,1906-08-30,492,667,25880
815,1906-08-31,445,684,25419
816,1906-09-01,470,733,26279
817,1906-09-02,467,676,26384
818,1906-09-03,518,728,24743
819,1906-09-04,531,717,26325
820,1906-09-05,522,655,26034
821,1906-09-06,381,692,24987
822,1906-09-07,532,633,25148
823,1906-09-08,447,583,25119
824,1906-09-09,494,736,25096
825,1906-09-10,537,720,25133
826,1906-09-11,504,712,24783
827,1906-09-12,485,610,24705
828,1906-09-13,460,629,25172
829,1906-09-14,527,714,25474
830,1906-09-15,466,671,24975
831,1906-09-16,378,567,22088
832,1906-09-17,535,752,24661
833,1906-09-18,502,708,24707
834,1906-09-19,456,674,25109
835,1906-09-20,444,586,24977
836,1906-09-21,444,696,25880
837,1906-09-22,430,625,26325
838,1906-09-23,411,651,23336
839,1906-09-24,551,706,25098
840,1906-09-25,464,692,25587
841,1906-09-26,490,716,25881
842,1906-09-27,382,538,23432
843,1906-09-28,457,736,25566
844,1906-09-29,381,659,25016
845,1906-09-30,347,570,20281
846,1906-10-01,484,793,25612
847,1906-10-02,407,745,25553
848,1906-10-03,416,742,24911
849,1906-10-04,492,725,26357
850,1906-10-05,420,695,25942
851,1906-10-06,392,617,25274
852,1906-10-07,412,710,25145
853,1906-10-08,459,632,24395
854,1906-10-09,442,653,24788
855,1906-10-10,494,752,25330
856,1906-10-11,423,553,24053
857,1906-10-12,423,675,26083
858,1906-10-13,397,583,22788
859,1906-10-14,363,566,24038
860,1906-10-15,495,737,24087
861,1906-10-16,450,710,25908
862,1906-10-17,383,704,26400
863,1906-10-18,373,625,25125
864,1906-10-19,415,638,25685
865,1906-10-20,385,569,25051
866,1906-10-21,381,482,20730
867,1906-10-22,448,711,25061
868,1906-10-23,361,572,24826
869,1906-10-24,394,566,25262
